,Id,Cantidad_Victimas,Fecha,Anio,Mes,Dia,Hora,Franja_Horaria,Lugar_Hecho,Tipo_Calle,Calle,Altura,Barrio,Coordenada x,Coordenada y,Participantes,Victima,Acusado,Hora del día,Dia_Semana,Tipo_Dia
168,20170033,1,2017-03-12,2017,3,12,07:30:00,Mañana,AV. GRAL. PAZ KM. 10,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,11,-58.52466448,-34.60325478,AUTO-AUTO,AUTO,AUTO,7,Sunday,Fin_de_Semana
169,20170034,1,2017-03-13,2017,3,13,07:50:00,Mañana,GODOY CRUZ 2651,CALLE,GODOY CRUZ,2651.0,14,-58.42554218,-34.57929036,PEATON-AUTO,PEATON,AUTO,7,Monday,Dia_de_Semana
170,20170035,3,2017-03-23,2017,3,23,05:00:00,Madrugada,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",cruce_de_calles,1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,5,Thursday,Dia_de_Semana
171,20170036,2,2017-03-29,2017,3,29,18:00:00,Tarde,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,12,-58.51452347,-34.58159762,MOTO-PASAJEROS,MOTO,PASAJEROS,18,Wednesday,Dia_de_Semana
172,20170037,1,2017-03-31,2017,3,31,03:00:00,Madrugada,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,cruce_de_calles,1,-58.38896772,-34.61799615,MOTO-CARGAS,MOTO,CARGAS,3,Friday,Dia_de_Semana
173,20170038,1,2017-04-01,2017,4,1,19:00:00,Tarde,AV. CASTAÑARES Y LAUTARO,AVENIDA,CASTA?ARES AV.,cruce_de_calles,7,-58.44516857,-34.64363363,MOTO-AUTO,MOTO,AUTO,19,Saturday,Fin_de_Semana
174,20170040,1,2017-04-03,2017,4,3,09:40:00,Mañana,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,AVENIDA,"GUIRALDES, INT.",2699.0,13,-58.43834197,-34.54560369,MULTIPLE,AUTO,MULTIPLE,9,Monday,Dia_de_Semana
175,20170041,1,2017-04-03,2017,4,3,23:15:00,Noche,BALDOMERO FERNANDEZ MORENO 2186,CALLE,"FERNANDEZ MORENO, BALDOMERO",2186.0,7,-58.45485084,-34.63531854,MOTO-AUTO,MOTO,AUTO,23,Monday,Dia_de_Semana
176,20170042,1,2017-04-10,2017,4,10,09:00:00,Mañana,AV. LEOPOLDO LUGONES PKM 6900,AVENIDA,"LUGONES, LEOPOLDO AV.",cruce_de_calles,14,.,.,MOTO-CARGAS,MOTO,CARGAS,9,Monday,Dia_de_Semana
177,20170045,1,2017-04-14,2017,4,14,06:15:00,Madrugada,NOGOYA 5940,CALLE,NOGOYA,5940.0,10,-58.52449285,-34.62454175,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,6,Friday,Dia_de_Semana
178,20170047,1,2017-04-23,2017,4,23,06:30:00,Madrugada,AV. ARGENTINA Y AV. CORVALAN,AVENIDA,ARGENTINA AV.,cruce_de_calles,8,-58.46713742,-34.67198790,MOTO-AUTO,MOTO,AUTO,6,Sunday,Fin_de_Semana
179,20170049,1,2017-04-27,2017,4,27,18:16:00,Tarde,AV. FERNANDEZ DE LA CRUZ Y VARELA,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",cruce_de_calles,8,-58.43850413,-34.65554754,PEATON-PASAJEROS,PEATON,PASAJEROS,18,Thursday,Dia_de_Semana
